date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:56	409/409	---MCZ	200	added ('OK')	text/plain	date:Fri,%2008%20Apr%202022%2014:10:57%20GMT	https://www.intellectsoft.net/robots.txt		(from )
15:10:57	76933/76933	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:10:57%20GMT	https://www.intellectsoft.net/	C:/My%20Web%20Sites/clones/www.intellectsoft.net/index.html	(from )
15:10:57	1062/1062	---M--	200	added ('OK')	image/png	etag:%22623acea7-426%22	https://www.intellectsoft.net/favicon.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/favicon.png	(from https://www.intellectsoft.net/)
15:10:58	1907/1907	---M--	200	added ('OK')	image/png	etag:%22623acea7-773%22	https://www.intellectsoft.net/apple-touch-icon.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/apple-touch-icon.png	(from https://www.intellectsoft.net/)
15:10:58	2679/2679	---M--	200	added ('OK')	image/png	etag:%22623acea7-a77%22	https://www.intellectsoft.net/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/apple-touch-icon-76x76.png	(from https://www.intellectsoft.net/)
15:10:58	4262/4262	---M--	200	added ('OK')	image/png	etag:%22623acea7-10a6%22	https://www.intellectsoft.net/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/apple-touch-icon-114x114.png	(from https://www.intellectsoft.net/)
15:10:59	5622/5622	---M--	200	added ('OK')	image/png	etag:%22623acea7-15f6%22	https://www.intellectsoft.net/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/apple-touch-icon-152x152.png	(from https://www.intellectsoft.net/)
15:10:59	1583/1583	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22623acea7-62f%22	https://www.intellectsoft.net/favicon.ico	C:/My%20Web%20Sites/clones/www.intellectsoft.net/favicon.ico	(from https://www.intellectsoft.net/)
15:10:59	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:00%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Light.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Light.woff	(from https://www.intellectsoft.net/)
15:11:00	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:01%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Regular.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Regular.woff	(from https://www.intellectsoft.net/)
15:11:00	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:01%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Semibold.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Semibold.woff	(from https://www.intellectsoft.net/)
15:11:00	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:02%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Bold.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Bold.woff	(from https://www.intellectsoft.net/)
15:11:01	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:02%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Black.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Black.woff	(from https://www.intellectsoft.net/)
15:11:01	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Apr%202022%2014:11:02%20GMT	https://www.intellectsoft.net/fonts/ProximaNova-Xbold.woff	C:/My%20Web%20Sites/clones/www.intellectsoft.net/fonts/ProximaNova-Xbold.woff	(from https://www.intellectsoft.net/)
15:11:02	9069/9069	---MCZ	200	added ('OK')	text/css	etag:W/%22623acf07-2c4e%22	https://www.intellectsoft.net/assets/cbef7669/icons.css?v=1648021255	C:/My%20Web%20Sites/clones/www.intellectsoft.net/assets/cbef7669/iconsa2ea.css	(from https://www.intellectsoft.net/)
15:11:02	4381/4381	---MCZ	200	added ('OK')	text/css	etag:W/%22623acea7-111d%22	https://www.intellectsoft.net/assets/cbef7669/vendor/owl.carousel.min.css?v=1648021159	C:/My%20Web%20Sites/clones/www.intellectsoft.net/assets/cbef7669/vendor/owl.carousel.min6396.css	(from https://www.intellectsoft.net/)
15:11:02	19582/19582	---MCZ	200	added ('OK')	text/css	etag:W/%22623acea7-4c7e%22	https://www.intellectsoft.net/assets/cbef7669/vendor/swiper.min.css?v=1648021159	C:/My%20Web%20Sites/clones/www.intellectsoft.net/assets/cbef7669/vendor/swiper.min6396.css	(from https://www.intellectsoft.net/)
15:11:03	190341/190341	---MCZ	200	added ('OK')	text/css	etag:W/%22623acea7-2e815%22	https://www.intellectsoft.net/assets/cbef7669/home.css?v=1648021159	C:/My%20Web%20Sites/clones/www.intellectsoft.net/assets/cbef7669/home6396.css	(from https://www.intellectsoft.net/)
15:11:04	19157/19157	---M-Z	200	added ('OK')	text/css	etag:%22602836ba-4ad5%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.12/css/intlTelInput.min.css	C:/My%20Web%20Sites/clones/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.12/css/intlTelInput.min.css	(from https://www.intellectsoft.net/)
15:11:04	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	C:/My%20Web%20Sites/clones/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css	(from https://www.intellectsoft.net/)
15:11:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2008%20Apr%202022%2014:11:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/clones/www.googletagmanager.com/gtm.125445.delayed	(from https://www.intellectsoft.net/)
15:11:05	1094/1094	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22623acea7-446%22	https://www.intellectsoft.net/assets/cbef7669/img/button_phone.svg	C:/My%20Web%20Sites/clones/www.intellectsoft.net/assets/cbef7669/img/button_phone.svg	(from https://www.intellectsoft.net/)
15:11:06	64094/64094	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:07%20GMT	https://www.intellectsoft.net/privacy-policy	C:/My%20Web%20Sites/clones/www.intellectsoft.net/privacy-policy.html	(from https://www.intellectsoft.net/)
15:11:06	88965/88965	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:07%20GMT	https://www.intellectsoft.net/services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services.html	(from https://www.intellectsoft.net/)
15:11:07	97158/97158	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:08%20GMT	https://www.intellectsoft.net/services/enterprise-software-development	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/enterprise-software-development.html	(from https://www.intellectsoft.net/)
15:11:07	36752/36752	---M--	200	added ('OK')	image/png	etag:%225feae50c-8f90%22	https://www.intellectsoft.net/upload/images/menu-items/660071d381c573ffe4c3a9f9c9cecf9c211f8b2b5045791cb0933e8db2622a99.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/upload/images/menu-items/660071d381c573ffe4c3a9f9c9cecf9c211f8b2b5045791cb0933e8db2622a99.png	(from https://www.intellectsoft.net/)
15:11:08	93443/93443	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:08%20GMT	https://www.intellectsoft.net/services/mobile-app-development-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/mobile-app-development-services.html	(from https://www.intellectsoft.net/)
15:11:08	35292/35292	---M--	200	added ('OK')	image/png	etag:%225feae52d-89dc%22	https://www.intellectsoft.net/upload/images/menu-items/146723f51c528dfac06d0b3486823960e6487946b878da0713dd1e99ff88e917.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/upload/images/menu-items/146723f51c528dfac06d0b3486823960e6487946b878da0713dd1e99ff88e917.png	(from https://www.intellectsoft.net/)
15:11:08	88123/88123	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:09%20GMT	https://www.intellectsoft.net/services/ios-app-development-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/ios-app-development-services.html	(from https://www.intellectsoft.net/)
15:11:09	82992/82992	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:10%20GMT	https://www.intellectsoft.net/services/android-app-development-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/android-app-development-services.html	(from https://www.intellectsoft.net/)
15:11:09	52409/52409	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:10%20GMT	https://www.intellectsoft.net/technologies/windows-phone-development-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/technologies/windows-phone-development-services.html	(from https://www.intellectsoft.net/)
15:11:10	52229/52229	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:10%20GMT	https://www.intellectsoft.net/technologies/hybrid-development	C:/My%20Web%20Sites/clones/www.intellectsoft.net/technologies/hybrid-development.html	(from https://www.intellectsoft.net/)
15:11:10	67273/67273	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:11%20GMT	https://www.intellectsoft.net/services/dedicated-development-team	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/dedicated-development-team.html	(from https://www.intellectsoft.net/)
15:11:10	36179/36179	---M--	200	added ('OK')	image/png	etag:%225feae54e-8d53%22	https://www.intellectsoft.net/upload/images/menu-items/3fbf717cfe324002179edbad7c102ff569f341550c8d321860717eec5dc195f6.png	C:/My%20Web%20Sites/clones/www.intellectsoft.net/upload/images/menu-items/3fbf717cfe324002179edbad7c102ff569f341550c8d321860717eec5dc195f6.png	(from https://www.intellectsoft.net/)
15:11:11	76798/76798	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:12%20GMT	https://www.intellectsoft.net/services/it-consulting-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/it-consulting-services.html	(from https://www.intellectsoft.net/)
15:11:11	71120/71120	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:12%20GMT	https://www.intellectsoft.net/services/digital-transformation-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/digital-transformation-services.html	(from https://www.intellectsoft.net/)
15:11:12	72209/72209	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:12%20GMT	https://www.intellectsoft.net/services/ui-ux-design-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/ui-ux-design-services.html	(from https://www.intellectsoft.net/)
15:11:12	67588/67588	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:13%20GMT	https://www.intellectsoft.net/services/qa-and-software-testing-services	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/qa-and-software-testing-services.html	(from https://www.intellectsoft.net/)
15:11:12	51852/51852	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Apr%202022%2014:11:13%20GMT	https://www.intellectsoft.net/services/dev-ops	C:/My%20Web%20Sites/clones/www.intellectsoft.net/services/dev-ops.html	(from https://www.intellectsoft.net/)
